a_0,翔安王街x座 420514,s_160127
a_658,西峰佛山路d座 945157,s_27719
a_659,滨城广州路E座 266667,s_487958
a_660,南长丁路I座 758128,s_74015
a_661,丰都淮安路C座 292000,s_255250
a_662,永川冀街s座 925879,s_222974
a_663,和平李街G座 228657,s_79338
a_664,闵行罗街B座 588240,s_197562
a_665,永川通辽街H座 477845,s_39060
a_666,南长兴安盟路i座 834058,s_636173
a_667,山亭陈街R座 609525,s_140205
a_668,友好石家庄路D座 974223,s_462900
a_669,沙湾容街V座 456169,s_410554
a_670,沙湾何路m座 924372,s_470671
a_671,怀柔李路i座 847309,s_270676
a_672,大东北京街p座 214124,s_346710
a_673,大东陆路P座 514561,s_591991
a_674,和平程路t座 909383,s_628329
a_675,东城太原路n座 874742,s_288664
a_676,普陀刘街r座 473255,s_458375
a_677,东城陈路r座 856362,s_118522
a_678,海港谭街V座 480294,s_240555
a_679,江北杨街M座 610648,s_357464
a_680,平山周街f座 725306,s_455925
a_681,东丽李路o座 243726,s_169380
a_682,璧山马鞍山路D座 888273,s_452311
a_683,门头沟哈尔滨路h座 972898,s_53613
a_684,翔安潜江街A座 318359,s_485236
a_685,海陵马鞍山街r座 730529,s_216109
a_686,锡山胡街i座 455917,s_343431
a_687,海港柳州路L座 626714,s_463077
a_688,大兴覃街h座 247566,s_267261
a_689,大东谭路B座 940629,s_363862
a_690,怀柔深圳路i座 327941,s_250969
a_691,涪城张家港路o座 702553,s_118696
a_692,高明潮州路N座 176205,s_628788
a_693,锡山赵路k座 913432,s_604064
a_694,友好杭州街f座 497388,s_399040
a_695,高明淮安街V座 109442,s_104800
a_696,合川上海路y座 258198,s_76885
a_697,黄浦佛山路A座 652618,s_220324
a_698,南长顾街H座 278018,s_253287
a_699,南溪王路e座 129304,s_214915
a_700,花溪广州街o座 929055,s_316546
a_701,高港贵阳路O座 145616,s_252652
a_702,翔安澳门街g座 165938,s_548499
a_703,城东谭路X座 532262,s_58527
a_704,和平张街l座 610881,s_504138
a_705,涪城梧州路U座 239325,s_94909
a_706,华龙澳门路l座 132814,s_432924
a_707,合川李街c座 261256,s_560027
a_708,淄川罗路f座 983712,s_343444
a_709,合川陈路u座 190328,s_197573
a_710,南溪南京路d座 489326,s_282439
a_711,华龙罗路N座 985673,s_481765
a_712,城北石家庄路A座 641817,s_499422
a_713,平山梧州街N座 986079,s_283093
a_714,秀英袁街y座 999745,s_487184
a_715,大兴段街X座 289764,s_154876
a_716,房山黄街T座 139991,s_381087
a_717,沙湾淮安街E座 130472,s_398866
a_718,房山徐街D座 160511,s_203342
a_719,南湖宁德路N座 531614,s_296573
a_720,长寿杨街F座 689136,s_134116
a_721,友好淮安街x座 128612,s_110251
a_722,梁平马鞍山路e座 725623,s_554786
a_723,蓟州张街C座 484610,s_176607
a_724,上街李路W座 444945,s_414848
a_725,友好成都路w座 759013,s_481309
a_726,锡山郑街i座 121960,s_251969
a_727,魏都西安街v座 364974,s_314393
a_728,南湖潮州街e座 693632,s_60430
a_729,翔安通辽街M座 403924,s_82696
a_730,璧山澳门街A座 206365,s_499418
a_731,华龙齐街J座 121813,s_575234
a_732,秀英游街o座 185276,s_440400
a_733,闵行石家庄街j座 901820,s_266450
a_734,翔安巢湖街v座 701703,s_594161
a_735,滨城赵街H座 240588,s_4423
a_736,高明哈尔滨街M座 552053,s_554430
a_737,静安沈阳街w座 115477,s_257015
a_738,友好马鞍山街T座 481870,s_209508
a_739,崇文罗街S座 930374,s_127526
a_740,南溪刘路V座 367823,s_453525
a_741,花溪辽阳路d座 120462,s_71428
a_742,合川张家港街V座 744242,s_455142
a_743,璧山张路X座 938139,s_632055
a_744,南溪杨路e座 498151,s_356267
a_745,海陵台北路J座 206869,s_61628
a_746,华龙潘路q座 704991,s_372940
a_747,高港贵阳街D座 245743,s_489689
a_748,金平南宁街Q座 644151,s_278582
a_749,兴山深圳路P座 561039,s_144821
a_750,浔阳柳州路D座 349783,s_207702
a_751,上街赵街s座 521670,s_247056
a_752,合川杭州街B座 535423,s_478499
a_753,高明甘街O座 543480,s_401896
a_754,吉区林路Y座 853427,s_452308
a_755,南湖天津路O座 149002,s_484263
a_756,清河沈阳路E座 647645,s_59762
a_757,友好黄路C座 190965,s_133882
a_758,山亭陆街Q座 665148,s_199435
a_759,永川通辽街y座 635869,s_436551
a_760,闵行西宁街r座 233959,s_528701
a_761,花溪大冶街Z座 463710,s_198388
a_762,清河徐街C座 330858,s_321285
a_763,黄浦通辽路H座 739857,s_422600
a_764,西夏西安路g座 512834,s_604904
a_765,房山张路j座 873461,s_92542
a_766,翔安陈路f座 657948,s_607134
a_767,高坪巢湖街D座 588029,s_632753
a_768,门头沟长春路T座 410085,s_312591
a_769,翔安余街V座 796993,s_62299
a_770,永川王街b座 673822,s_41281
a_771,静安石街a座 281391,s_163589
a_772,吉区香港路h座 549539,s_190067
a_773,沙湾石家庄路S座 422366,s_372320
a_774,永川王街p座 632124,s_412171
a_775,永川林街I座 507136,s_217249
a_776,南长昆明路x座 175078,s_466864
a_777,房山杭州街C座 991838,s_407874
a_778,沈北新香港街A座 551385,s_279122
a_779,崇文裴路e座 386198,s_638652
a_780,花溪林路H座 735130,s_667862
a_781,双滦福州路S座 166637,s_661678
a_782,吉区覃街R座 535953,s_326048
a_783,秀英合肥街o座 668607,s_179307
a_784,华龙永安路z座 256711,s_300120
a_785,房山胡街h座 165615,s_154432
a_786,海港顾街F座 906069,s_652561
a_787,华龙章路S座 643753,s_568865
a_788,高坪周路A座 566048,s_413700
a_789,孝南马鞍山街w座 430220,s_661868
a_790,海港大冶路Z座 245754,s_309011
a_791,西夏冯街d座 785017,s_158701
a_792,翔安郑州街S座 725527,s_150937
a_793,房山香港街C座 938819,s_475783
a_794,萧山王路I座 165603,s_74538
a_795,新城潮州街J座 802324,s_33210
a_796,沈北新永安路k座 442433,s_47579
a_797,安次永安路b座 884492,s_615727
a_798,徐汇杨街D座 901001,s_231064
a_799,清河周街o座 290111,s_503604
a_800,沙湾六安路z座 918509,s_481452
a_801,沙湾兴安盟路d座 582971,s_295877
a_802,沙湾乌鲁木齐街d座 592651,s_421938
a_803,高坪太原路y座 879069,s_137274
a_804,大兴张家港街Y座 396419,s_348549
a_805,南长邯郸路U座 837911,s_372496
a_806,大东张路Y座 304889,s_205846
a_807,浔阳胡路s座 607111,s_64316
a_808,秀英张家港路E座 283459,s_612695
a_809,安次黄路J座 593591,s_223592
a_810,大兴银川路T座 858236,s_116846
a_811,东丽曹街z座 414979,s_173375
a_812,六枝特广州路Q座 316826,s_620063
a_813,大东南昌路l座 242359,s_341452
a_814,魏都嘉禾街B座 765158,s_589871
a_815,静安辛集街p座 191827,s_660601
a_816,梁平王街t座 529657,s_89447
a_817,华龙太原街a座 402723,s_270862
a_818,璧山柳州路f座 546777,s_203908
a_819,徐汇兴城路g座 258242,s_559053
a_820,西峰深圳街E座 995420,s_630232
a_821,和平孙街T座 301931,s_243284
a_822,花溪合山路V座 262344,s_507099
a_823,东城胡街B座 393625,s_296140
a_824,蓟州曾路u座 148643,s_520093
a_825,柳州街W座 371103,s_76086
a_826,海港段路O座 752376,s_450331
a_827,城东董街Q座 265951,s_484184
a_828,双滦郁路g座 196729,s_484415
a_829,龙潭聂街h座 698533,s_507958
a_830,南湖周路b座 101664,s_28541
a_831,长寿鲍街I座 899780,s_150701
a_832,沙湾巢湖街f座 585140,s_295773
a_833,滨城安街t座 917010,s_50727
a_834,山亭台北街F座 325627,s_282258
a_835,南长雷路a座 797456,s_90539
a_836,普陀潮州路h座 958160,s_481464
a_837,和平哈尔滨路c座 468719,s_294005
a_838,城东徐路U座 819897,s_112740
a_839,沈河昆明街q座 842820,s_171374
a_840,长寿巢湖路y座 654407,s_89576
a_841,秀英张街A座 532966,s_166418
a_842,合川惠州街p座 185556,s_177063
a_843,沙湾阜新路W座 541117,s_498517
a_844,清城关岭街D座 530632,s_125947
a_845,六枝特张路m座 172575,s_28639
a_846,沈河辽阳路L座 766897,s_382787
a_847,沙湾张街Q座 440761,s_191501
a_848,清城薄街S座 238230,s_14180
a_849,金平石家庄路Y座 655027,s_154237
a_850,阎街y座 735300,s_593571
a_851,沈河李路z座 596962,s_401421
a_852,普陀六安街Y座 301608,s_233128
a_853,南湖长沙路e座 113758,s_419226
a_854,兴山南宁街c座 120285,s_14593
a_855,安次哈尔滨路X座 538210,s_403711
a_856,沙湾海门路m座 212818,s_139899
a_857,华龙高路a座 117742,s_658056
a_858,东丽季街Y座 184125,s_636629
a_859,南湖北镇街f座 314326,s_519204
a_860,平山巢湖街b座 423044,s_535430
a_861,魏都郑州路U座 438691,s_300654
a_862,城东陈街C座 355952,s_171718
a_863,龙潭郑州路n座 572754,s_278846
a_864,沈北新柳州街X座 112579,s_209545
a_865,黄浦银川街i座 336347,s_563430
a_866,山亭宜都路r座 720731,s_653680
a_867,牧野南京路P座 869276,s_314170
a_868,房山任路V座 187245,s_495093
a_869,沈河刘路W座 152724,s_275305
a_870,南湖梧州街u座 625650,s_612688
a_871,璧山花路N座 208579,s_143466
a_872,白云兴安盟路k座 723794,s_135682
a_873,梁平庞街W座 459123,s_295835
a_874,城北王街d座 604929,s_194587
a_875,海陵萧路c座 495762,s_564327
a_876,南湖兴城街U座 568310,s_212791
a_877,白云朱街i座 357914,s_360493
a_878,大兴郭街o座 717330,s_5327
a_879,清浦重庆街F座 339975,s_228198
a_880,清城潮州街V座 551936,s_217690
a_881,静安冯街K座 326812,s_292172
a_882,新城银川路o座 815977,s_542773
a_883,梁平柳州路H座 166462,s_502760
a_884,清河郑州街l座 737028,s_633945
a_885,双滦关岭街i座 313249,s_39529
a_886,丰都杨街B座 750640,s_394703
a_887,和平长沙路I座 883739,s_150388
a_888,东丽贵阳街M座 638583,s_460255
a_889,白云齐齐哈尔街J座 545381,s_18916
a_890,平山哈尔滨街F座 207773,s_345204
a_891,南长吴街e座 454028,s_35032
a_892,平山杭州街f座 601452,s_338204
a_893,长寿蔡街S座 564179,s_354249
a_894,萧山王街i座 849194,s_31070
a_895,平山佛山路l座 921948,s_640086
a_896,闵行武汉路f座 902970,s_640066
a_897,南溪巢湖路I座 656435,s_110482
a_898,沈河乌鲁木齐街d座 668719,s_396814
a_899,徐汇蔡路c座 717281,s_63918
a_900,龙潭淮安路N座 538373,s_267007
a_901,徐汇兰州街n座 212443,s_656684
a_902,大东欧街S座 458499,s_666905
a_903,牧野杭州路a座 197463,s_128868
a_904,丰都罗路a座 102053,s_574487
a_905,浔阳周路a座 850817,s_175694
a_906,六枝特陈路G座 539957,s_246294
a_907,长寿张路v座 765986,s_205053
a_908,门头沟邱路D座 698638,s_155628
a_909,南长宁路s座 622837,s_177846
a_910,安次深圳路Y座 859822,s_256862
a_911,大兴广州街L座 387294,s_512908
a_912,吉区济南街C座 743217,s_658296
a_913,滨城关岭街M座 690550,s_182519
a_914,吉区贵阳街S座 536592,s_515492
a_915,长寿北镇街x座 167969,s_430254
a_916,六枝特上海路c座 406293,s_45218
a_917,徐汇辽阳路o座 928402,s_401560
a_918,吉区兰街c座 585777,s_327410
a_919,花溪宁街h座 118163,s_359274
a_920,锡山何路e座 250927,s_157245
a_921,高港辛集路v座 654263,s_14583
a_922,双滦长春路G座 814533,s_325203
a_923,大东刘街d座 558265,s_317981
a_924,永川沈阳街q座 687327,s_455950
a_925,静安济南路o座 789259,s_258440
a_926,永川邯郸街z座 997170,s_662690
a_927,徐汇太原街X座 791211,s_135605
a_928,高港澳门街a座 967756,s_614281
a_929,翔安施路Z座 231721,s_63914
a_930,牧野香港路q座 371017,s_25301
a_931,华龙淮安路a座 973302,s_379728
a_932,丰都吴路H座 108621,s_532722
a_933,西夏重庆路O座 921036,s_349326
a_934,海陵呼和浩特街j座 183026,s_359495
a_935,涪城辽阳街h座 988939,s_77480
a_936,友好李路O座 431204,s_189842
a_937,高港彭街C座 516359,s_474205
a_938,新城香港街h座 837511,s_456356
a_939,江北重庆路w座 346062,s_363512
a_940,西安街y座 471087,s_12104
a_941,锡山田路x座 652946,s_312829
a_942,房山海门路A座 407258,s_63198
a_943,房山栾街O座 111276,s_145543
a_944,金平胡路U座 190149,s_241653
a_945,龙潭孙街u座 966962,s_616355
a_946,西夏温路r座 693524,s_588745
a_947,南湖银川街s座 392192,s_568743
a_948,浔阳唐路s座 364778,s_261279
a_949,六枝特汕尾路Z座 638692,s_545228
a_950,花溪太原街G座 970923,s_370781
a_951,城北贾路D座 610749,s_204725
a_952,永川王路T座 194145,s_388678
a_953,门头沟李街A座 490755,s_424190
a_954,长寿昆明路l座 689401,s_656682
a_955,山亭胡路W座 789851,s_213776
a_956,秀英龙街P座 540491,s_8431
a_957,南湖永安街b座 642409,s_7993
a_958,浔阳台北路r座 618733,s_618883
a_959,翔安曾路S座 271167,s_500587
a_960,和平唐街s座 797145,s_452666
a_961,丰都张街F座 999016,s_567426
a_962,门头沟太原街M座 378508,s_306626
a_963,金平袁路G座 623048,s_431407
a_964,华龙王路M座 574879,s_212627
a_965,翔安六盘水街d座 146448,s_482808
a_966,东城李路O座 416452,s_478507
a_967,六枝特惠州街C座 110129,s_404700
a_968,璧山严路Q座 895673,s_301075
a_969,吉区成都街O座 846664,s_435499
a_970,孝南龚街o座 311067,s_269018
a_971,花溪南京街O座 540011,s_145707
a_972,普陀戴路C座 588223,s_558997
a_973,长寿巢湖街u座 888488,s_77780
a_974,崇文嘉禾路W座 798306,s_404020
a_975,合川张路l座 805067,s_358876
a_976,丰都济南路e座 447575,s_52825
a_977,大东荆门路p座 646597,s_481660
a_978,山亭周街o座 722237,s_39381
a_979,大兴台北街y座 179128,s_332163
a_980,永川李路r座 850438,s_239761
a_981,孝南北京路N座 193670,s_594935
a_982,兴山合山路p座 363581,s_207513
a_983,朝阳游街z座 316315,s_429825
a_984,沙湾太原街R座 485993,s_613355
a_985,新城嘉禾路Q座 194746,s_455287
a_986,浔阳逯街h座 489415,s_75232
a_987,大兴张路L座 423956,s_49760
a_988,高坪巢湖街X座 871579,s_613750
a_989,城北马鞍山街L座 141282,s_120636
a_990,淄川王街P座 980490,s_140182
a_991,魏都张街Q座 566007,s_604825
a_992,璧山梧州街u座 839261,s_440758
a_993,海陵郭路h座 150888,s_257060
a_994,新城周街c座 236789,s_330116
a_995,门头沟马鞍山街z座 703403,s_421789
a_996,兴山梧州路O座 196114,s_541047
a_997,张家港路X座 201047,s_162269
a_998,上街母街Q座 155299,s_624037
a_999,白云巢湖路P座 505103,s_467194
